tradedate;tradetime;B1;B2;B3;T1;G1;G2;G3;G4;G5;G6;G7;G8;G9
29.04.2014;18:38:29;946,879614;-297,335931;93,484205;1,542521;7,868595;-34,176230;-2,002295;15,475021;3,734246;-1,898746;-1,851275;0,000000;0,000000
30.04.2014;18:35:19;941,948393;-303,773640;97,601912;1,395865;7,765192;-29,190738;9,332688;9,066341;-2,568002;0,675243;1,844963;0,000000;0,000000
02.05.2014;11:36:32;946,654548;-295,571383;96,921761;1,412983;11,648584;-21,124039;13,658891;7,052335;-4,965797;0,231302;1,158989;0,000000;0,000000
05.05.2014;18:33:29;954,943909;-277,627560;95,883847;1,712313;9,165179;-18,264321;9,482173;6,701057;-5,529310;-0,993443;-0,453510;0,000000;0,000000
06.05.2014;18:39:35;941,377943;-275,695628;97,323236;1,623277;10,728457;-29,578386;12,588037;9,812041;-4,489474;-3,574346;-1,033268;0,000000;0,000000
07.05.2014;18:39:38;921,548241;-255,428082;96,303827;1,744428;14,653656;-11,403210;8,577100;12,181494;1,732034;-10,802395;-9,304984;0,000000;0,000000
08.05.2014;18:39:08;898,256903;-224,948284;86,761618;1,406078;-6,598314;15,106672;3,216549;-2,067989;-11,611519;-2,780366;2,410655;0,000000;0,000000
12.05.2014;18:35:36;888,837245;-213,882282;86,216197;1,159158;3,234542;9,318904;4,444555;-4,908023;-9,050138;-3,850162;1,516583;0,000000;0,000000
13.05.2014;18:39:37;890,786578;-185,735545;79,591321;1,927339;13,200315;-9,238150;3,044120;7,825907;-6,802275;-3,382866;0,878760;0,000000;0,000000
14.05.2014;18:35:40;876,963009;-194,940079;80,453259;1,145646;-1,168392;2,909672;2,875913;-4,921555;-8,375460;2,721620;2,785318;0,000000;0,000000
15.05.2014;18:38:56;862,558309;-229,474388;82,861206;0,676832;-7,935002;0,701315;-3,262217;-4,201709;-4,632575;5,048099;7,271056;0,000000;0,000000
16.05.2014;18:33:18;860,099615;-248,645905;88,213988;0,547923;-11,088309;1,993507;-5,069031;-3,061320;1,202684;5,697168;5,951354;0,000000;0,000000
19.05.2014;18:39:38;859,410205;-258,113572;93,414732;0,570652;-1,118980;3,797321;-6,414178;-2,742215;-0,495381;3,250326;5,339631;0,000000;0,000000
20.05.2014;18:39:40;850,662327;-233,151829;93,966923;0,449145;0,445503;8,312707;-13,339826;-9,834233;-2,787006;5,260801;5,606513;0,000000;0,000000
21.05.2014;18:39:31;844,611061;-282,127678;110,023471;0,394810;-6,220823;4,457119;-2,728262;-4,038720;-9,650066;0,404210;7,852752;0,000000;0,000000
22.05.2014;18:39:10;849,450111;-289,029584;112,956145;0,393028;-0,028537;9,714414;-8,777467;-11,929753;-10,388090;2,352734;6,842625;0,000000;0,000000
23.05.2014;18:38:13;840,714725;-316,888192;120,652327;0,373567;-8,556777;8,885367;-1,018229;-9,644422;-9,509032;2,244353;6,015967;0,000000;0,000000
26.05.2014;18:38:47;836,285669;-321,511540;132,866947;0,404111;1,223091;9,934545;-6,240226;-9,108835;-7,132638;1,970282;3,595576;0,000000;0,000000
27.05.2014;18:38:40;843,844119;-263,490902;142,433451;0,332594;11,438911;1,285967;-16,607405;-10,884490;-6,024559;4,022047;5,967363;0,000000;0,000000
28.05.2014;18:39:38;849,779729;-262,795681;143,749174;0,526080;5,452897;1,926959;-2,668057;-12,975359;-10,247816;3,436746;6,682241;0,000000;0,000000
29.05.2014;18:39:43;849,286767;-226,568613;134,509787;0,844421;7,094835;10,764827;-3,396003;-4,360524;-12,046650;-4,432493;3,879000;0,000000;0,000000
30.05.2014;18:39:11;844,228378;-205,771075;121,911788;0,695394;7,182194;6,873393;-5,482072;-7,736800;-21,017748;-4,941915;9,191944;0,000000;0,000000
02.06.2014;18:35:07;828,499712;-231,418513;121,529423;0,405723;-6,055422;1,155800;-2,577244;-5,311676;-11,046408;-1,065816;7,891234;0,000000;0,000000
03.06.2014;18:32:06;834,751338;-205,840250;118,687985;0,497392;18,462034;5,494674;-11,322250;-7,561811;-10,129069;-4,678120;4,239778;0,000000;0,000000
04.06.2014;18:30:44;827,662677;-197,610352;109,859413;0,355104;9,227659;-2,357998;-12,126407;-6,957971;-10,851651;-0,738053;6,484796;0,000000;0,000000
05.06.2014;18:39:31;822,419506;-171,631943;107,167652;0,495147;12,232855;2,893395;-6,627525;-9,426580;-10,679695;-0,403952;3,788677;0,000000;0,000000
06.06.2014;18:38:31;819,171222;-144,600050;90,743548;0,991540;4,632744;2,346431;1,465113;-1,255054;-12,213842;-9,888215;3,978492;0,000000;0,000000
09.06.2014;18:39:35;815,454793;-131,006033;77,129293;0,839795;0,404684;-2,050794;5,153252;-4,804265;-15,445897;-1,005958;6,271065;0,000000;0,000000
10.06.2014;18:38:04;828,215099;-117,264535;61,899627;1,515325;6,120875;-2,832688;-0,005976;3,738785;-16,420377;-6,462417;7,428798;0,000000;0,000000
11.06.2014;18:38:43;835,536888;-107,289108;49,068828;2,003549;17,407844;-6,780792;-0,546664;1,561762;-9,805439;-4,102101;3,284820;0,000000;0,000000
16.06.2014;18:32:02;849,964390;-116,015123;46,196923;2,137977;-6,142424;-0,972426;4,666586;5,014007;-13,167421;-3,782434;6,126000;0,000000;0,000000
17.06.2014;18:38:35;857,438840;-116,899049;41,375849;2,390052;1,404061;-0,032115;2,166394;1,450485;-14,282356;-4,093292;6,161292;0,000000;0,000000
18.06.2014;18:39:56;856,361453;-113,643053;31,707973;2,780761;0,536009;-1,859617;1,964242;5,899526;-8,674757;-3,418202;1,899631;0,000000;0,000000
19.06.2014;18:37:24;854,667718;-112,391506;23,731609;3,062916;0,073422;-0,451555;2,645068;4,405675;-8,277610;-4,135872;2,553594;0,000000;0,000000
20.06.2014;18:38:22;859,080061;-114,575754;22,161544;3,103604;-1,218909;-5,131464;0,269298;10,918171;-5,287987;-5,276218;2,649334;0,000000;0,000000
23.06.2014;18:39:12;858,149099;-112,859124;18,396636;3,228660;0,018101;0,009990;-1,038283;8,943410;-7,012682;-6,674134;1,628528;0,000000;0,000000
24.06.2014;18:39:18;849,437488;-111,398719;15,536555;3,289025;2,997482;-0,819321;-8,553995;14,562399;-2,437834;-4,401132;-0,131439;0,000000;0,000000
25.06.2014;18:38:19;845,880267;-111,062424;14,044468;3,311254;1,758613;-4,262767;-6,808159;13,610117;-3,074928;-2,881154;-0,623952;0,000000;0,000000
26.06.2014;18:39:42;844,199619;-111,459105;13,092340;3,318439;-1,235874;-6,237063;8,951146;7,336459;-6,383378;-2,017117;1,978578;0,000000;0,000000
27.06.2014;18:36:36;845,222196;-108,182065;11,421451;3,372099;0,173749;-1,765597;3,190398;8,467796;-7,701081;-3,178038;2,085378;0,000000;0,000000
30.06.2014;18:39:51;848,176122;-115,555721;15,538266;3,202232;-7,126391;2,505669;5,389434;8,840590;-6,425495;-2,409627;1,174023;0,000000;0,000000
01.07.2014;18:39:53;854,223878;-117,774108;17,216601;3,127898;-6,927781;-7,111384;11,184684;14,030096;-13,598361;-2,186705;3,445843;0,000000;0,000000
02.07.2014;18:32:38;846,757079;-121,012954;20,867444;2,910994;-10,890364;0,440286;3,205996;11,303855;-2,882643;-2,559004;0,569322;0,000000;0,000000
03.07.2014;18:34:02;846,100727;-130,125088;28,498866;2,407423;-18,581055;1,763990;14,409696;5,141114;-5,394308;-1,939908;1,071430;0,000000;0,000000
04.07.2014;18:37:56;844,621010;-139,614273;33,935570;1,844371;-27,217639;6,542606;20,313131;3,943768;-13,462232;-2,640044;4,015884;0,000000;0,000000
07.07.2014;18:35:43;827,859445;-156,293072;39,071814;0,643795;-13,114092;11,724474;2,775017;-6,746663;-12,411697;0,612420;3,855253;0,000000;0,000000
08.07.2014;18:38:04;821,889733;-164,733532;38,963330;0,509070;-5,131903;6,530271;-3,373296;-7,633490;-9,973385;-0,473502;5,339638;0,000000;0,000000
09.07.2014;18:39:47;821,513759;-169,478198;39,765416;0,412191;-2,684653;5,183259;-3,374227;-5,869804;-8,735947;-0,635369;6,211709;0,000000;0,000000
10.07.2014;18:39:35;827,991416;-155,141990;36,772259;0,451193;2,124744;4,526965;-7,221551;-6,975563;-8,401051;1,397428;6,261831;0,000000;0,000000
11.07.2014;18:39:54;829,080222;-154,236366;36,053159;0,357469;-0,110788;8,394235;-12,662688;-9,459982;-7,131355;2,607676;6,825555;0,000000;0,000000
14.07.2014;18:36:31;837,076908;-146,764525;34,403052;0,489112;1,329886;5,764009;-8,810368;-6,909471;-8,957529;-0,791603;7,144794;0,000000;0,000000
15.07.2014;18:39:39;838,897197;-139,719001;32,273991;0,484917;3,213975;8,080568;-7,065682;-10,162535;-11,358585;-1,347561;6,823262;0,000000;0,000000
16.07.2014;18:39:39;850,466975;-115,660385;25,338647;1,032965;-2,268955;16,362480;-4,714557;-7,131793;-10,264449;-2,385966;5,179629;0,000000;0,000000
17.07.2014;18:39:33;868,333910;-138,056437;28,123618;0,633306;-3,670494;14,804700;-12,499072;-4,474805;-4,259677;1,782691;3,332564;0,000000;0,000000
18.07.2014;18:39:40;871,421022;-122,965691;24,193341;1,038132;-4,975493;9,110969;-9,308072;3,968946;-2,701120;0,811070;2,537857;0,000000;0,000000
21.07.2014;18:39:36;894,744227;-129,768991;23,433167;0,937043;-0,492402;-3,604450;7,447444;2,722324;-14,049714;-1,368818;4,930458;0,000000;0,000000
22.07.2014;18:39:53;878,795867;-148,390250;24,217342;0,490428;-6,248532;4,678814;-0,498302;-4,216642;-8,359784;-2,558998;5,365845;0,000000;0,000000
23.07.2014;18:39:50;875,192211;-136,147686;21,985700;0,621369;1,170389;3,557930;-0,503800;-5,315959;-8,791367;-1,476981;4,224282;0,000000;0,000000
24.07.2014;18:36:54;877,468249;-145,660821;22,092476;0,597658;-4,557757;1,286827;-2,205752;-1,525028;-6,526508;-0,544704;4,547793;0,000000;0,000000
25.07.2014;18:39:53;889,754675;-179,065837;28,817540;0,351435;-10,382053;1,638502;4,978326;2,655530;-5,943871;-2,798948;3,428569;0,000000;0,000000
28.07.2014;18:39:25;898,685836;-165,386168;33,028347;0,385037;0,482476;1,413673;-8,808887;8,802293;-1,328145;-3,235593;1,799005;0,000000;0,000000
29.07.2014;18:39:44;913,231892;-152,122794;39,463952;0,486204;1,315049;-2,806749;0,901290;6,615885;5,079199;-1,398984;-2,529153;0,000000;0,000000
30.07.2014;18:36:05;914,386739;-120,445942;40,717192;1,119824;12,785056;-8,627356;-1,491651;11,040062;8,210947;-4,898877;-6,921411;0,000000;0,000000
31.07.2014;18:39:00;914,757997;-130,227822;49,135914;1,085914;2,936185;-9,326718;-3,086483;13,586838;8,745183;-1,978320;-3,807292;0,000000;0,000000
01.08.2014;18:39:52;920,634231;-141,939484;58,968613;1,073407;-0,346586;-25,194667;3,407611;12,041603;9,411300;1,213017;-1,763586;0,000000;0,000000
04.08.2014;18:38:42;926,560139;-158,961847;68,434494;0,935363;-2,126125;-12,199707;0,632620;10,139231;8,377927;1,617087;-1,040473;0,000000;0,000000
